CustomerID,Tenure,MonthlyCharges,CancellationDate,Churn
CUST-ID-00000-14,,,,0
CUST-ID-00001-57,13,78.91,2026-07-23,1
CUST-ID-00002-73,66,76.21,2026-07-01,1
CUST-ID-00003-57,71,135.25,2026-07-28,1
CUST-ID-00004-65,23,27.5,,0
CUST-ID-00005-23,49,39.95,,0
CUST-ID-00006-30,64,36.73,,0
CUST-ID-00007-59,35,94.77,2026-07-17,1
CUST-ID-00008-58,7,95.3,,0
CUST-ID-00009-33,22,58.5,,0
CUST-ID-00010-19,14,148.47,,0
CUST-ID-00011-84,8,32.23,2026-07-21,1
CUST-ID-00012-89,43,62.92,,0
CUST-ID-00013-95,22,36.42,2026-07-15,1
CUST-ID-00014-20,7,133.93,2026-07-11,1
CUST-ID-00015-44,,107.34,,0
CUST-ID-00016-19,15,58.61,,0
CUST-ID-00017-56,6,81.5,2026-07-14,1
CUST-ID-00018-63,11,66.56,2026-07-25,1
CUST-ID-00019-92,20,94.63,,0
CUST-ID-00020-49,69,,,0
CUST-ID-00021-85,19,20.33,,0
CUST-ID-00022-25,3,148.59,,0
CUST-ID-00023-53,69,84.75,,0
CUST-ID-00024-99,44,131.44,,0
CUST-ID-00025-59,5,32.08,,0
CUST-ID-00026-36,25,109.06,2026-07-13,1
CUST-ID-00027-83,34,97.25,,0
CUST-ID-00028-62,51,65.11,,0
CUST-ID-00029-33,23,121.82,,0
CUST-ID-00030-34,,107.05,2026-07-24,1
CUST-ID-00031-48,45,44.41,,0
CUST-ID-00032-37,50,49.23,,0
CUST-ID-00033-68,8,32.48,,0
CUST-ID-00034-13,66,135.44,,0
CUST-ID-00035-74,15,95.26,,0
CUST-ID-00036-43,17,78.35,,0
CUST-ID-00037-60,32,20.8,,0
CUST-ID-00038-99,16,93.61,,0
CUST-ID-00039-63,49,75.26,,0
CUST-ID-00040-11,49,,,0
CUST-ID-00041-50,69,37.4,,0
CUST-ID-00042-83,32,45.96,,0
CUST-ID-00043-15,35,82.25,,0
CUST-ID-00044-44,10,82.63,2026-07-26,1
CUST-ID-00045-53,,49.03,,0
CUST-ID-00046-36,20,57.19,,0
CUST-ID-00047-95,39,113.95,,0
CUST-ID-00048-66,71,83.29,,0
CUST-ID-00049-80,56,87.34,2026-07-14,1
CUST-ID-00050-83,28,99.81,,0
CUST-ID-00051-99,20,98.83,2026-07-24,1
CUST-ID-00052-13,12,137.57,2026-07-04,1
CUST-ID-00053-93,25,148.07,,0
CUST-ID-00054-88,67,27.84,2026-07-26,1
CUST-ID-00055-31,60,74.49,,0
CUST-ID-00056-18,59,77.57,,0
CUST-ID-00057-44,18,34.88,,0
CUST-ID-00058-51,43,67.43,,0
CUST-ID-00059-59,42,60.25,2026-07-15,1
CUST-ID-00060-36,,,,0
CUST-ID-00061-48,31,127.68,,0
CUST-ID-00062-47,7,143.3,,0
CUST-ID-00063-48,20,47.76,,0
CUST-ID-00064-32,65,113.13,2026-07-21,1
CUST-ID-00065-34,64,70.5,,0
CUST-ID-00066-77,33,128.3,,0
CUST-ID-00067-23,47,37.38,2026-07-17,1
CUST-ID-00068-65,65,118.46,,0
CUST-ID-00069-42,20,94.2,,0
CUST-ID-00070-76,7,68.89,,0
CUST-ID-00071-66,72,81.2,2026-07-15,1
CUST-ID-00072-92,2,107.8,,0
CUST-ID-00073-72,10,57.34,,0
CUST-ID-00074-95,58,110.87,2026-07-07,1
CUST-ID-00075-97,,82.33,2026-07-18,1
CUST-ID-00076-33,1,30.7,,0
CUST-ID-00077-52,12,135.85,,0
CUST-ID-00078-51,3,101.72,,0
CUST-ID-00079-36,16,73.88,,0
CUST-ID-00080-17,11,,,0
CUST-ID-00081-23,28,51.8,,0
CUST-ID-00082-60,15,32.93,,0
