ItemNumber,ItemName,PackSize,PalletCount,SupplierCode,LastUpdated
SKU-2000,Product-0,12,-16,,
SKU-2001,Product-1,6,153,Supplier-1,2026-08-08
SKU-2002,Product-2,24,56,Supplier-3,2026-08-25
SKU-2003,Product-3,12,360,Supplier-7,2026-08-19
SKU-2004,Product-4,12,188,Supplier-2,2026-08-11
SKU-2005,Product-5,24,62,Supplier-9,2026-08-03
SKU-2006,Product-6,24,143,Supplier-6,2026-08-04
SKU-2007,Product-7,6,22,Supplier-6,2026-08-13
SKU-2008,Product-8,6,248,Supplier-4,2026-08-07
SKU-2009,Product-9,6,387,Supplier-4,2026-08-25
SKU-2010,Product-10,6,349,Supplier-7,2026-08-23
SKU-2011,Product-11,12,194,Supplier-8,2026-08-21
SKU-2012,Product-12,24,124,Supplier-8,2026-08-15
SKU-2013,Product-13,6,320,Supplier-1,2026-08-09
SKU-2014,Product-14,24,119,,2026-08-19
SKU-2015,Product-15,6,488,Supplier-6,2026-08-19
SKU-2016,Product-16,6,62,Supplier-6,2026-08-11
SKU-2017,Product-17,6,315,Supplier-1,2026-08-14
SKU-2018,Product-18,24,67,Supplier-3,2026-08-06
SKU-2019,Product-19,6,322,Supplier-5,2026-08-21
SKU-2020,Product-20,12,43,Supplier-1,2026-08-14
SKU-2021,Product-21,24,357,Supplier-9,2026-08-21
SKU-2022,Product-22,12,444,Supplier-1,2026-08-09
SKU-2023,Product-23,24,38,Supplier-9,2026-08-25
SKU-2024,Product-24,12,284,Supplier-8,2026-08-03
SKU-2025,Product-25,24,-25,Supplier-7,2026-08-10
SKU-2026,Product-26,6,42,Supplier-6,2026-08-09
SKU-2027,Product-27,12,341,Supplier-3,2026-08-03
SKU-2028,Product-28,6,338,,2026-08-15
SKU-2029,Product-29,6,466,Supplier-10,2026-08-25
SKU-2030,Product-30,12,386,Supplier-9,2026-08-17
SKU-2031,Product-31,12,22,Supplier-4,2026-08-18
SKU-2032,Product-32,12,263,Supplier-5,2026-08-28
SKU-2033,Product-33,6,488,Supplier-8,2026-08-09
SKU-2034,Product-34,24,478,Supplier-10,2026-08-12
SKU-2035,Product-35,6,168,Supplier-6,2026-08-16
SKU-2036,Product-36,24,45,Supplier-7,2026-08-21
SKU-2037,Product-37,24,200,Supplier-10,2026-08-21
